count,series,collection,Question,Answer
16,SmackDown,/15,name,Bayley
16,SmackDown,/8,name,Bayley
16,SmackDown,/5,name,Bayley
16,SmackDown,/10,name,Bayley
16,SmackDown,1/1,name,Bayley
11,SmackDown,1/1,name,Bayley
16,SmackDown,/25,name,Bayley
16,SmackDown,/8,name,Bayley
16,SmackDown,/3,name,Bayley
16,SmackDown,/5,name,Bayley
16,SmackDown,/10,name,Bayley
16,SmackDown,1/1,name,Bayley
16,SmackDown,/15,name,Bayley
41,Raw,/25,name,Becky Lynch
41,Raw,/8,name,Becky Lynch
41,Raw,/5,name,Becky Lynch
41,Raw,/10,name,Becky Lynch
41,Raw,1/1,name,Becky Lynch
41,Raw,/15,name,Becky Lynch
18,Raw,/15,name,Becky Lynch
18,Raw,/6,name,Becky Lynch
18,Raw,/3,name,Becky Lynch
18,Raw,/10,name,Becky Lynch
18,Raw,1/1,name,Becky Lynch
9,SmackDown,/25,name,Bianca Belair
9,SmackDown,/8,name,Bianca Belair
9,SmackDown,/5,name,Bianca Belair
9,SmackDown,/10,name,Bianca Belair
9,SmackDown,1/1,name,Bianca Belair
9,SmackDown,/15,name,Bianca Belair
24,SmackDown,/15,name,Bianca Belair
24,SmackDown,/8,name,Bianca Belair
24,SmackDown,/5,name,Bianca Belair
24,SmackDown,/10,name,Bianca Belair
24,SmackDown,1/1,name,Bianca Belair
6,SmackDown,/15,name,Bianca Belair
6,SmackDown,/8,name,Bianca Belair
6,SmackDown,/5,name,Bianca Belair
6,SmackDown,/10,name,Bianca Belair
6,SmackDown,1/1,name,Bianca Belair
28,SmackDown,/15,name,Bianca Belair
28,SmackDown,/6,name,Bianca Belair
28,SmackDown,/3,name,Bianca Belair
28,SmackDown,/10,name,Bianca Belair
28,SmackDown,1/1,name,Bianca Belair
30,SmackDown,/15,name,Bianca Belair
30,SmackDown,/8,name,Bianca Belair
30,SmackDown,/5,name,Bianca Belair
30,SmackDown,/10,name,Bianca Belair
30,SmackDown,1/1,name,Bianca Belair
18,SmackDown,/15,name,Bianca Belair
18,SmackDown,/8,name,Bianca Belair
18,SmackDown,/5,name,Bianca Belair
18,SmackDown,/10,name,Bianca Belair
18,SmackDown,1/1,name,Bianca Belair
19,SmackDown,/15,name,Bianca Belair
19,SmackDown,/8,name,Bianca Belair
19,SmackDown,/5,name,Bianca Belair
19,SmackDown,/10,name,Bianca Belair
19,SmackDown,1/1,name,Bianca Belair
15,SmackDown,/15,name,Bianca Belair
15,SmackDown,/8,name,Bianca Belair
15,SmackDown,/5,name,Bianca Belair
15,SmackDown,/10,name,Bianca Belair
15,SmackDown,1/1,name,Bianca Belair
3,SmackDown,/15,name,Bianca Belair
3,SmackDown,/8,name,Bianca Belair
3,SmackDown,/5,name,Bianca Belair
3,SmackDown,/10,name,Bianca Belair
3,SmackDown,1/1,name,Bianca Belair
11,SmackDown,/25,name,Bianca Belair
11,SmackDown,/8,name,Bianca Belair
11,SmackDown,/3,name,Bianca Belair
11,SmackDown,/5,name,Bianca Belair
11,SmackDown,/10,name,Bianca Belair
11,SmackDown,1/1,name,Bianca Belair
11,SmackDown,/15,name,Bianca Belair
24,SmackDown,/15,name,Bianca Belair
24,SmackDown,/8,name,Bianca Belair
24,SmackDown,/5,name,Bianca Belair
24,SmackDown,/10,name,Bianca Belair
24,SmackDown,1/1,name,Bianca Belair
27,SmackDown,/25,name,Bianca Belair
27,SmackDown,/8,name,Bianca Belair
27,SmackDown,/5,name,Bianca Belair
